Case,CommCase,Platform,Publisher,VidTitle,Comment,Likes/Hearts,CharacterNum,CommLength,Sentiment,Focus,Alignment
1,1001,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"Founding president of the debate club at our school—I founded the club specifically to harp on this point! It doesn’t matter which side you align yourself with, most people want the same things at the end of the day. Whether you think the liberals are grooming the children or that the Conservative Party is beginning to resemble Hitler’s ride to power, you still probably can agree that we want to make everyone’s lives better, we want to preserve freedom, and we want to make better and more informed decisions. An exercise I’ve done for people is to take a given candidates speech and put a blank where they mention specific names and things—you’d be surprised at how many that you can’t distinguish between left or right",1,724,1,4,1,4
1,1002,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"Have no problem with disagreeing and having a civilized conversation, but what do you with people who express overt racist, sexist and hateful views.",3,149,1,4,1,3
1,1003,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,The big problem though is eventually when you have differing opinions there comes a point where violence is pretty much the only answer left because both parties are to different to coexist... there was a reason the founding fathers feared this country splitting into political parties... a house divided cannot stand it is as if you built your castle on sand,0,359,1,3,1,3
1,1004,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"The division is intended, a unified people are too influential, next minute you'll have proper funded public services and an absence of super rich hoarding billions.",2,165,1,2,1,4
1,1005,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,That’s dope future is brighting up a little bit,0,47,3,4,1,4
1,1006,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"The guy’s either gonna sellout or get into “unfortunate car crash""",0,66,3,2,1,3
1,1007,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"I don't see why politics should have anything to do with running a country. I know how it started and how easily it did, but it's not a needed thing in any country. Put all the laws directly to the people and let them vote on them before they can be enacted. Make them easy to overturn if they do end up being a terrible decision.",1,330,1,3,1,3
2,1008,YouTube Shorts,Washington Post,Visit one of the tallest timber buildings in the world,"Deforestation doesn’t have to be. Many trees are lost to fires and storms also, and replanting can be done by not using so much production, lumberyards have surplus at times, and can be bargained off to buyers, that have specific purposes that don’t have waste left over as much.",0,279,1,3,1,3
2,1009,YouTube Shorts,Washington Post,Visit one of the tallest timber buildings in the world,I thought we needed our trees,0,29,2,3,1,2
3,1010,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"If the house won’t kick him out, the voters will",28,48,3,3,1,3
3,1011,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"I don't care what party you belong to, Santos' behavior is totally shameful and the shame spreads to the 182 Republicans and 31 Democrats who voted to condone and accept it. THIS is precisely why the public has no faith in Congress.",23,232,1,2,1,3
3,1012,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"XD XD XD Well, that about sums up the Maga Republicans for you!",7,63,3,2,1,4
3,1013,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"If no clown policy must be enforced in the house, there will be no more Republicans left!!!",13,91,3,2,1,3
3,1014,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"The voters are the ones who put him In they need to vote him out along with gates, Greene, bobert-I could go on but why? Voters have to be serious and realize how important their votes are. To play with your vote as if it is trivial is how this Kinda person gets into office. We need normal low key people again who want to work for us and our country .",8,353,1,3,0,
3,1015,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,The United States 🇺🇸 of America leaves nothing for me to desire anymore! It openly lacks any fortitude and value! If I had sufficient money I’d leave!,9,152,1,1,0,
3,1016,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,Please vote him out,3,19,2,3,1,2
3,1017,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,Separation of church and state.,6,31,2,3,0,
3,1018,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"George Santos/wombever, is no longer a joke - he has become a punchline. ""2 nuns walk into a bar - George Santos.""",0,114,3,2,1,3
3,1019,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"That just proved that when the circus left the town, they forgot to take the clowns. The citizens will have to vote him out.",0,124,3,3,1,4
4,1020,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,rump is requesting bids to enlarge his cell to accommodate his family,5,69,3,2,1,3
4,1021,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,"It’s apparent nobody has ever worked at a bank before. You don’t issue loans based off the word of the applicant stating what thy think the value is. If that’s the case I would have bought my house for 100,000 less.",4,215,1,2,0,
4,1022,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,Complete bs case.,9,17,2,2,1,2
4,1023,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,"It went EXACTLY as expected! “It was 30 or 35 questions. The first questions are very easy. The last questions are much more difficult. Like a memory question,” Trump continued. “It’s like, you’ll go, ‘Person, woman, man, camera, TV.’ So they say, ‘Could you repeat that?’ So I said, ‘Yeah.’ So it’s, ‘Person, woman, man, camera, TV.’ OK, that’s very good. If you get it in order, you get extra points.” Then, “10 minutes, 15, 20 minutes later” in the cognitive exam, “they say, ‘Remember the first question?’ Not the first, but the tenth question. ‘Give us that again. Can you do that again?’ And you go, ‘Person, woman, man, camera, TV,’” Trump recounted. The president said doctors had warned him “nobody gets it in order,” and he assessed that “it’s actually not that easy. But for me, it was easy.” Trump also emphasized that the medical professionals conducting the exam “don’t tell you” they plan on asking patients to repeat the word series, and said they were impressed by him doing so. “‘Can you do it?’ And you go, ‘Person, woman, man, camera, TV,’” Trump said. “They say, ‘That’s amazing, how did you do that?’ I do it because I have, like, a good memory. Because I’m cognitively there.”",9,1199,1,2,0,
4,1024,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,Lock him up!!!,14,14,2,2,1,3
4,1025,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,Lock him up,26,11,2,2,1,3
4,1026,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,"No matter what anyone thinks of his personality, world leaders respected him and had agreements with him. His foreign policy was spot on, crime was low, no inflation, no new wars. Other leaders feared him (like they feared Reagan). He stands for the common man, the middle class. He is NOT a politician…he is a businessman, and America IS a business. We need strong leadership in office more than ever before. I wouldn’t date him, but world leaders fear him enough, and that’s enough to get my vote.",5,499,1,4,1,3
4,1027,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,👏👏👏,4,6,2,3,0,
4,1028,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,"Such bs. What a shame for these attorneys. there is a higher law, that they have violated.",1,90,3,2,0,
