Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Filters,EditStyle
1,YouTube Shorts,The Washington Post,This high school student is working to unify America | Opinion (youtube.com),11/1/23,100,11,,steady (Shots),both (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),lacks (Narration),yes (Humor),not offensive (Offensive),not use (Sourcing),2.0,3.0,3.0,4.0,4.0,Political (Topic),3.0,0.0,Hybrid,0,0,clean
2,YouTube Shorts,The Washington Post,Visit one of the tallest timber buildings in the world (youtube.com),11/1/23,26,2,,steady (Shots),none (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,5.0,3.0,4.0,Environmental/Health (Topic),3.0,0.0,Hybrid,0,0,clean
3,YouTube Shorts,The Washington Post,(5) Rep. George Santos survives vote to expel him - YouTube,11/1/23,278,70,,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,5.0,Political (Topic),2.0,0.0,Hybrid,1,1,clean
4,YouTube Shorts,The Washington Post,Trump testifies in his own civil fraud trial (youtube.com),11/6/23,783,193,,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),no (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,3.0,4.0,-93.0,4.0,Political (Topic),3.0,0.0,Hybrid,1,1,clean
5,YouTube Shorts,The Washington Post,Abortion on the ballot gives Dems a big night (youtube.com),11/8/23,277,75,,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,3.0,4.0,5.0,5.0,Political (Topic),2.0,0.0,Hybrid,1,1,clean
6,YouTube Shorts,The Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech (youtube.com),11/8/23,912,105,,steady (Shots),animations (Graphics),0.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),1.0,2.0,2.0,5.0,4.0,West Bank Conflict (Topic),3.0,1.0,Hybrid,1,1,not clean
7,YouTube Shorts,The Washington Post,"Hazardous air quality chokes India, Pakistan - YouTube",11/9/23,20,1,,steady (Shots),animations (Graphics),1.0 (EditsStyle),yes (Broll),yes (NatSound),good (Audio),includes (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,3.0,3.0,-93.0,4.0,Environmental/Health (Topic),2.0,1.0,Hybrid,1,1,clean
8,Instagram Reels,The Washington Post,It's better for your health to stop wasting food,11/1/23,2279,35,,nan (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),3.0,4.0,3.0,-93.0,-93.0,Environmental/Health (Topic),5.0,0.0,Hybrid,1,1,clean
9,Instagram Reels,The Washington Post,Biden's collabing with influencers,11/3/23,6799,580,,steady (Shots),both (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),poor (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,3.0,4.0,4.0,3.0,Political (Topic),3.0,1.0,Hybrid,0,0,clean
10,Instagram Reels,The Washington Post,Israel strikes ambulance near Gaza City hospital,11/3/23,13831,3046,,not steady (Shots),none (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),lacks (Music),lacks (Narration),no (Humor),atrocities (Offensive),use (Sourcing),2.0,4.0,2.0,-93.0,-93.0,West Bank Conflict (Topic),3.0,1.0,Hybrid,0,0,not clean
11,Instagram Reels,The Washington Post,Think cats are aloof?,11/7/23,22788,120,,nan (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),poor (Audio),lacks (Music),lacks (Narration),yes (Humor),not offensive (Offensive),use (Sourcing),5.0,3.0,4.0,-93.0,3.0,Entertainment/Pop Culture (Topic),4.0,0.0,Hybrid,1,1,clean
12,Instagram Reels,The Washington Post,"""…Or do you want Dick Chaney in three-inch heels?""",11/9/23,10886,1341,,steady (Shots),none (Graphics),0.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),includes (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),5.0,2.0,4.0,5.0,4.0,Political (Topic),2.0,1.0,Hybrid,0,0,not clean
13,Instagram Reels,The Washington Post,The best place to shop? Other people's lost luggage.,11/10/23,37080,349,,not steady (Shots),animations (Graphics),0.0 (EditsStyle),yes (Broll),yes (NatSound),poor (Audio),includes (Music),includes (Narration),yes (Humor),not offensive (Offensive),not use (Sourcing),5.0,2.0,4.0,5.0,4.0,Entertainment/Pop Culture (Topic),2.0,0.0,Hybrid,1,1,not clean
14,Instagram Reels,The Washington Post,While experts have long predicted generative artificial intelligence would lead to a tsunami,11/13/23,2310,50,,not steady (Shots),both (Graphics),1.0 (EditsStyle),yes (Broll),no (NatSound),good (Audio),includes (Music),includes (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,2.0,4.0,Technology/AI (Topic),4.0,0.0,Hybrid,0,0,clean
15,TikTok,The Washington Post,"""Third-party candidates see some of their best polls since Ross Perot"" ",11/1/23,2970,113,48.0,steady (Shots),filters (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),includes (Music),lacks (Narration),yes (Humor),not offensive (Offensive),not use (Sourcing),3.0,3.0,3.0,1.0,-93.0,Political (Topic),5.0,0.0,Hybrid,0,0,clean
16,TikTok,The Washington Post,The Food and Drug Administration has issued warnings for 26 over-the-counter eye care,11/1/23,13000,67,584.0,steady (Shots),both (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),includes (Music),lacks (Narration),yes (Humor),not offensive (Offensive),use (Sourcing),5.0,4.0,4.0,3.0,1.0,Disaster/Accident (Topic),4.0,0.0,Hybrid,0,0,clean
17,TikTok,The Washington Post,Reminder to set your clocks back an hour this weekend 🫡,11/3/23,22100,378,375.0,steady (Shots),animations (Graphics),1.0 (EditsStyle),no (Broll),yes (NatSound),good (Audio),includes (Music),lacks (Narration),yes (Humor),not offensive (Offensive),use (Sourcing),4.0,1.0,5.0,2.0,1.0,Environmental/Health (Topic),4.0,0.0,Hybrid,1,1,clean
18,TikTok,The Washington Post,"A store manager in Fort Myers, Florida put a skull out for sale in September and thought little of it",11/7/23,21800,114,594.0,steady (Shots),both (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),includes (Music),lacks (Narration),yes (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,2.0,2.0,Entertainment/Pop Culture (Topic),4.0,0.0,Hybrid,0,0,clean
19,TikTok,The Washington Post,"Tuesday was Election Day 2023, and The Carmellas™️ break it down.",11/8/23,13400,72,311.0,steady (Shots),both (Graphics),1.0 (EditsStyle),yes (Broll),no (NatSound),good (Audio),lacks (Music),includes (Narration),yes (Humor),not offensive (Offensive),use (Sourcing),5.0,2.0,4.0,2.0,3.0,Political (Topic),4.0,0.0,Hybrid,0,0,clean
20,TikTok,The Washington Post,GOP presidential candidates speak on TikTok in the third Republican debate.,11/9/23,2748,109,91.0,steady (Shots),none (Graphics),0.0 (EditsStyle),no (Broll),no (NatSound),good (Audio),lacks (Music),lacks (Narration),no (Humor),not offensive (Offensive),use (Sourcing),4.0,2.0,4.0,4.0,4.0,Political (Topic),2.0,1.0,Hybrid,0,0,not clean
21,TikTok,The Washington Post,Former U.N. ambassador Nikki Haley told entrepreneur and fellow Republican presidential candidate,11/9/23,2045,78,48.0,steady (Shots),none (Graphics),1.0 (EditsStyle),no (Broll),no (NatSound),poor (Audio),lacks (Music),lacks (Narration),yes (Humor),hateful (Offensive),use (Sourcing),1.0,4.0,3.0,4.0,4.0,Political (Topic),2.0,1.0,Hybrid,0,0,clean
