Case,CommCase,Platform,Publisher,VidTitle,CommentText,Likes,CharacterNum,CommLength,Sentiment,Focus,Alignment,MediaType
1.0,1001,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"Founding president of the debate club at our school—I founded the club specifically to harp on this point! It doesn’t matter which side you align yourself with, most people want the same things at the end of the day. Whether you think the liberals are grooming the children or that the Conservative Party is beginning to resemble Hitler’s ride to power, you still probably can agree that we want to make everyone’s lives better, we want to preserve freedom, and we want to make better and more informed decisions. An exercise I’ve done for people is to take a given candidates speech and put a blank where they mention specific names and things—you’d be surprised at how many that you can’t distinguish between left or right",1.0,724.0,1,4.0,1.0,4.0,SMonly
1.0,1002,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"Have no problem with disagreeing and having a civilized conversation, but what do you with people who express overt racist, sexist and hateful views.",3.0,149.0,1,4.0,1.0,3.0,SMonly
1.0,1003,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,The big problem though is eventually when you have differing opinions there comes a point where violence is pretty much the only answer left because both parties are to different to coexist... there was a reason the founding fathers feared this country splitting into political parties... a house divided cannot stand it is as if you built your castle on sand,0.0,359.0,1,3.0,1.0,3.0,SMonly
1.0,1004,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"The division is intended, a unified people are too influential, next minute you'll have proper funded public services and an absence of super rich hoarding billions.",2.0,165.0,1,2.0,1.0,4.0,SMonly
1.0,1005,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,That’s dope future is brighting up a little bit,0.0,47.0,3,4.0,1.0,4.0,SMonly
1.0,1006,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"The guy’s either gonna sellout or get into “unfortunate car crash""",0.0,66.0,3,2.0,1.0,3.0,SMonly
1.0,1007,YouTube Shorts,Washington Post,This high school student is working to unify America | Opinion,"I don't see why politics should have anything to do with running a country. I know how it started and how easily it did, but it's not a needed thing in any country. Put all the laws directly to the people and let them vote on them before they can be enacted. Make them easy to overturn if they do end up being a terrible decision.",1.0,330.0,1,3.0,1.0,3.0,SMonly
2.0,1008,YouTube Shorts,Washington Post,Visit one of the tallest timber buildings in the world,"Deforestation doesn’t have to be. Many trees are lost to fires and storms also, and replanting can be done by not using so much production, lumberyards have surplus at times, and can be bargained off to buyers, that have specific purposes that don’t have waste left over as much.",0.0,279.0,1,3.0,1.0,3.0,SMonly
2.0,1009,YouTube Shorts,Washington Post,Visit one of the tallest timber buildings in the world,I thought we needed our trees,0.0,29.0,2,3.0,1.0,2.0,SMonly
3.0,1010,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"If the house won’t kick him out, the voters will",28.0,48.0,3,3.0,1.0,3.0,SMonly
3.0,1011,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"I don't care what party you belong to, Santos' behavior is totally shameful and the shame spreads to the 182 Republicans and 31 Democrats who voted to condone and accept it. THIS is precisely why the public has no faith in Congress.",23.0,232.0,1,2.0,1.0,3.0,SMonly
3.0,1012,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"XD XD XD Well, that about sums up the Maga Republicans for you!",7.0,63.0,3,2.0,1.0,4.0,SMonly
3.0,1013,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"If no clown policy must be enforced in the house, there will be no more Republicans left!!!",13.0,91.0,3,2.0,1.0,3.0,SMonly
3.0,1014,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"The voters are the ones who put him In they need to vote him out along with gates, Greene, bobert-I could go on but why? Voters have to be serious and realize how important their votes are. To play with your vote as if it is trivial is how this Kinda person gets into office. We need normal low key people again who want to work for us and our country .",8.0,353.0,1,3.0,0.0,,SMonly
3.0,1015,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,The United States 🇺🇸 of America leaves nothing for me to desire anymore! It openly lacks any fortitude and value! If I had sufficient money I’d leave!,9.0,152.0,1,1.0,0.0,,SMonly
3.0,1016,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,Please vote him out,3.0,19.0,2,3.0,1.0,2.0,SMonly
3.0,1017,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,Separation of church and state.,6.0,31.0,2,3.0,0.0,,SMonly
3.0,1018,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"George Santos/wombever, is no longer a joke - he has become a punchline. ""2 nuns walk into a bar - George Santos.""",0.0,114.0,3,2.0,1.0,3.0,SMonly
3.0,1019,YouTube Shorts,Washington Post,Rep. George Santos survives vote to expel him,"That just proved that when the circus left the town, they forgot to take the clowns. The citizens will have to vote him out.",0.0,124.0,3,3.0,1.0,4.0,SMonly
4.0,1020,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,rump is requesting bids to enlarge his cell to accommodate his family,5.0,69.0,3,2.0,1.0,3.0,SMonly
4.0,1021,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,"It’s apparent nobody has ever worked at a bank before. You don’t issue loans based off the word of the applicant stating what thy think the value is. If that’s the case I would have bought my house for 100,000 less.",4.0,215.0,1,2.0,0.0,,SMonly
4.0,1022,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,Complete bs case.,9.0,17.0,2,2.0,1.0,2.0,SMonly
4.0,1023,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,"It went EXACTLY as expected! “It was 30 or 35 questions. The first questions are very easy. The last questions are much more difficult. Like a memory question,” Trump continued. “It’s like, you’ll go, ‘Person, woman, man, camera, TV.’ So they say, ‘Could you repeat that?’ So I said, ‘Yeah.’ So it’s, ‘Person, woman, man, camera, TV.’ OK, that’s very good. If you get it in order, you get extra points.” Then, “10 minutes, 15, 20 minutes later” in the cognitive exam, “they say, ‘Remember the first question?’ Not the first, but the tenth question. ‘Give us that again. Can you do that again?’ And you go, ‘Person, woman, man, camera, TV,’” Trump recounted. The president said doctors had warned him “nobody gets it in order,” and he assessed that “it’s actually not that easy. But for me, it was easy.” Trump also emphasized that the medical professionals conducting the exam “don’t tell you” they plan on asking patients to repeat the word series, and said they were impressed by him doing so. “‘Can you do it?’ And you go, ‘Person, woman, man, camera, TV,’” Trump said. “They say, ‘That’s amazing, how did you do that?’ I do it because I have, like, a good memory. Because I’m cognitively there.”",9.0,1199.0,1,2.0,0.0,,SMonly
4.0,1024,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,Lock him up!!!,14.0,14.0,2,2.0,1.0,3.0,SMonly
4.0,1025,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,Lock him up,26.0,11.0,2,2.0,1.0,3.0,SMonly
4.0,1026,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,"No matter what anyone thinks of his personality, world leaders respected him and had agreements with him. His foreign policy was spot on, crime was low, no inflation, no new wars. Other leaders feared him (like they feared Reagan). He stands for the common man, the middle class. He is NOT a politician…he is a businessman, and America IS a business. We need strong leadership in office more than ever before. I wouldn’t date him, but world leaders fear him enough, and that’s enough to get my vote.",5.0,499.0,1,4.0,1.0,3.0,SMonly
4.0,1027,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,👏👏👏,4.0,6.0,2,3.0,0.0,,SMonly
4.0,1028,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,"Such bs. What a shame for these attorneys. there is a higher law, that they have violated.",1.0,90.0,3,2.0,0.0,,SMonly
4.0,1029,YouTube Shorts,Washington Post,Trump testifies in his own civil fraud trial,Ridiculous we would be all ready in prison hurry up,2.0,51.0,3,2.0,1.0,2.0,SMonly
5.0,1030,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,I heard that the State of Colorado also voted to legalize recreational marijuana because they forgot they already had or something about like that,3.0,146.0,1,3.0,0.0,,SMonly
5.0,1031,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,Republicans are trying to dismiss the vote in ohio .. truly saying it doesnt matter what Ohioans want,2.0,101.0,3,3.0,1.0,4.0,SMonly
5.0,1032,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,"THANK YOU, Ohio! Finally the tide is beginning to turn.",12.0,55.0,3,4.0,1.0,4.0,SMonly
5.0,1033,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,Republicans will argue something like “but the Bible says…”,12.0,59.0,3,2.0,1.0,4.0,SMonly
5.0,1034,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,Ohio also voted for Rec Marijuana <3,10.0,36.0,2,4.0,0.0,,SMonly
5.0,1035,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,"I’ve read the bill of rights many times, nowhere in there does it say you have a right to an abortion. It does say life liberty, and the pursuit of happiness.",2.0,158.0,1,3.0,1.0,2.0,SMonly
5.0,1036,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,What about the men that get these women pregnant? Nobody points to them and blame them for their partner getting pregnant. Why is it that the woman is the only one getting threatened with jail time? Men should be lumped right there next to their partner who is being threatened with incarceration.,0.0,297.0,1,2.0,1.0,4.0,SMonly
5.0,1037,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,"This really should not be a left versus right issue besides the statistics that our native-born population is dwindling just like every Western country and in order to support economic growth we have to import foreigners as replacements just seems absurd... Leaving that aside it just seems strange to me that a potential mother would want to do away with her only reason for existing. I am personally understanding of rape, incest but in probably 99% of cases we all know the potential consequences of sex and using abortion as a form of birth control seems to be literally self destructive and selfish.",0.0,604.0,1,3.0,1.0,2.0,SMonly
5.0,1038,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,And the republicans there are already looking to block this,1.0,59.0,3,2.0,1.0,3.0,SMonly
5.0,1039,YouTube Shorts,Washington Post,Abortion on the ballot gives Dems a big night,Where did women get the idea that it was their body? It’s another human being growing inside you. Start having respect for human life.,4.0,134.0,1,1.0,1.0,1.0,SMonly
6.0,1040,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Bless her for her courage to face the certain hatred of the corrupt and evil men and women who run this country.,8.0,112.0,3,4.0,1.0,4.0,SMonly
6.0,1041,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,"**The problem is that everyone knows what Hamas did on Oct 7th, but a lot of people don't know what Israel's been doing for the past 75 years. They don't want to know it, and many people in power don't want them to know it either. And it's the biggest part of the whole picture. One can't understand what's going on without it",17.0,326.0,1,3.0,1.0,4.0,SMonly
6.0,1042,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,So proud 👏I voted 🗳for her and will continue to. I live in Dearborn Heights Mi and met her before. She's incredible,2.0,117.0,3,5.0,1.0,5.0,SMonly
6.0,1043,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,"Yes, she is right on point. Enough is enough. I took political science & history courses in college on this part of the world. The WOMEN, MOTHERS need to unite and stop the men from reacting to force with more force!! Stop terrorists and all war mongers!",32.0,254.0,1,4.0,1.0,4.0,SMonly
6.0,1044,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Stand for Israel,2.0,16.0,2,3.0,0.0,,SMonly
6.0,1045,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Stand with Palestine!,16.0,21.0,2,3.0,0.0,,SMonly
6.0,1046,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,"She is absolutely right. Benny is doing all the things Biden warned him not to do, making the same mistakes we did. We will have to live with all our history of wrong doings.",16.0,174.0,1,4.0,1.0,4.0,SMonly
6.0,1047,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Memorable,1.0,9.0,2,3.0,1.0,3.0,SMonly
6.0,1048,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Thank you for standing up for beautiful Muslim brothers and sisters and children when no arab country would stand,0.0,113.0,3,5.0,1.0,5.0,SMonly
6.0,1049,YouTube Shorts,Washington Post,Tlaib calls for Gaza cease-fire in impassioned speech,Freedom of speech!! She's right to talk about the Palistinian people. Obviously a lot of people can't distinguish Hamas from the Palistinian people. Zionists and Hezbollah and Zionists are all the same. Palestinians and the Israeli children are the same🙏,8.0,255.0,1,4.0,1.0,5.0,SMonly
7.0,1050,YouTube Shorts,Washington Post,"Hazardous air quality chokes India, Pakistan - YouTube",Dayyum,0.0,6.0,2,3.0,0.0,,SMonly
8.0,1051,Instagram Reels,Washington Post,It's better for your health to stop wasting food,"No, soon you and all the low-class democrats will be preaching that America sucks and Thanksgiving is racist.",0.0,109.0,3,1.0,0.0,,SMonly
8.0,1052,Instagram Reels,Washington Post,It's better for your health to stop wasting food,I use my freezer and buy produce in small amounts frequently. Why waste $?,0.0,74.0,3,4.0,1.0,4.0,SMonly
8.0,1053,Instagram Reels,Washington Post,It's better for your health to stop wasting food,"Yeah, I agree. I work at elementary schools and kids don't like eating their fruits or vegetables. That gets tossed in the trash first....but they do love their sugary snacks....unhealthy and very accessible choices. Cafeteria food is also not welcomed and it's a pity because all of that is taken for granted.",1.0,310.0,1,4.0,1.0,5.0,SMonly
8.0,1054,Instagram Reels,Washington Post,It's better for your health to stop wasting food,"Ok so the consumer is not the issue, like most things. Corporations should be held to higher standards.",5.0,103.0,3,2.0,1.0,2.0,SMonly
